[14Jan2025 06:48:55.269] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 43.4.2, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853, nogui]
[14Jan2025 06:48:55.275] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.13 by Ubuntu; OS Linux arch amd64 version 6.5.0-1025-azure
[14Jan2025 06:49:12.103] [main/INFO] [com.teampotato.redirector.Redirector/]: Redirector CoreMod initialized successfully!
[14Jan2025 06:49:12.243] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/lol/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2363!/ Service=ModLauncher Env=SERVER
[14Jan2025 06:49:12.337] [main/INFO] [Mods Optimizer/]: [Mods Optimizer] ♻ Init ...
[14Jan2025 06:49:12.338] [main/INFO] [Mods Optimizer/]: Game Directory: /workspaces/lol/servidor_minecraft
[14Jan2025 06:49:12.339] [main/INFO] [Mods Optimizer/]: Mods Directory: /workspaces/lol/servidor_minecraft/mods
[14Jan2025 06:49:12.339] [main/INFO] [Mods Optimizer/]: Game Environment: SERVER
[14Jan2025 06:49:12.342] [main/INFO] [Mods Optimizer/]: Loading Mods Database Config File from /workspaces/lol/servidor_minecraft/config/mods_optimizer/config.toml
[14Jan2025 06:49:12.428] [main/INFO] [Mods Optimizer/]: ♻ init with game dir /workspaces/lol/servidor_minecraft and mods dir /workspaces/lol/servidor_minecraft/mods for target SERVER in 87 ms.
[14Jan2025 06:49:12.429] [main/INFO] [Mods Optimizer/]: ♻ Parsing Mods data ...
[14Jan2025 06:49:12.431] [main/INFO] [Mods Optimizer/]: [Mod Data] parsing ~302 mods in /workspaces/lol/servidor_minecraft/mods with file extension .jar ...
[14Jan2025 06:49:12.497] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for attributefix from CLIENT to DEFAULT
[14Jan2025 06:49:12.501] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/lol/servidor_minecraft/mods/Explorify v1.6.2 f10-48.jar, which is expected in some cases.
[14Jan2025 06:49:12.609] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for smoothchunk from DEFAULT to SERVER
[14Jan2025 06:49:12.612] [main/ERROR] [Mods Optimizer/]: TOML file META-INF/mods.toml not found in java.util.jar.JarFile@1d035be3
[14Jan2025 06:49:12.613] [main/WARN] [Mods Optimizer/]: ⚠ Found no META-INF/mods.toml file for /workspaces/lol/servidor_minecraft/mods/kotlinforforge-3.12.0-all.jar!
[14Jan2025 06:49:12.620] [main/WARN] [Mods Optimizer/]: ⚠ Found no version tag inside the fabric.mod.json file /workspaces/lol/servidor_minecraft/mods/webdisplays-1.3.3.jar!
[14Jan2025 06:49:12.884] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.the_bumblezone[1] section of the mods.toml file /workspaces/lol/servidor_minecraft/mods/the_bumblezone_forge-6.9.13+1.19.2.jar!
[14Jan2025 06:49:12.894] [main/WARN] [Mods Optimizer/]: Was unable to parse timestamp Sep 23, 2023:
[14Jan2025 06:49:13.190] [main/WARN] [Mods Optimizer/]: ⚠ Found no side tag inside the dependencies.patchouli[0] section of the mods.toml file /workspaces/lol/servidor_minecraft/mods/Patchouli-1.19.2-77.jar!
[14Jan2025 06:49:13.242] [main/WARN] [Mods Optimizer/]: ⚠ Found no name tag inside the fabric.mod.json file /workspaces/lol/servidor_minecraft/mods/PrettyPipes-1.13.6.jar!
[14Jan2025 06:49:13.249] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/lol/servidor_minecraft/mods/dungeons-and-taverns-2.0.2 forge.jar, which is expected in some cases.
[14Jan2025 06:49:13.301] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/lol/servidor_minecraft/mods/hearths-v1.0.0-mc1.19u1.19.3.jar, which is expected in some cases.
[14Jan2025 06:49:13.310] [main/WARN] [Mods Optimizer/]: [Mod Data] ⚠ Unable to read manifest from mod file /workspaces/lol/servidor_minecraft/mods/vanilla-refresh-1.4.17c.jar, which is expected in some cases.
[14Jan2025 06:49:13.320] [main/INFO] [Mods Optimizer/]: [Mod Data] Overwrite mod environment for paraglider from UNKNOWN to DEFAULT
[14Jan2025 06:49:13.335] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 1 library mods in 266 mods.
[14Jan2025 06:49:13.337] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 5 data pack mods in 266 mods.
[14Jan2025 06:49:13.337] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 3 server mods in 266 mods.
[14Jan2025 06:49:13.337] [main/INFO] [Mods Optimizer/]: [Mod Data] Found 257 default mods in 266 mods.
[14Jan2025 06:49:13.338] [main/INFO] [Mods Optimizer/]: -------------------------------------------------------------------------------------------------------------------
[14Jan2025 06:49:13.338] [main/INFO] [Mods Optimizer/]: | ID                                 | VERSION                | TYPE     | ENVIRONMENT       | TIMESTAMP           |
[14Jan2025 06:49:13.361] [main/INFO] [Mods Optimizer/]: | supplementaries                    | 1.19.2-2.4.20          | FORGE    | DEFAULT           | 2025-01-13 19:41:07 |
[14Jan2025 06:49:13.362] [main/INFO] [Mods Optimizer/]: | matmos                             | 6.5.0                  | FORGE    | UNKNOWN           | 2025-01-13 19:39:16 |
[14Jan2025 06:49:13.363] [main/INFO] [Mods Optimizer/]: | corpse                             | 1.19.2-1.0.17          | FORGE    | DEFAULT           | 2024-10-16 16:16:25 |
[14Jan2025 06:49:13.364] [main/INFO] [Mods Optimizer/]: | structure_gel                      | 2.7.3                  | FORGE    | DEFAULT           | 2025-01-13 19:41:07 |
[14Jan2025 06:49:13.365] [main/INFO] [Mods Optimizer/]: | handcrafted                        | 2.0.6                  | FORGE    | DEFAULT           | 2025-01-13 19:37:43 |
[14Jan2025 06:49:13.365] [main/INFO] [Mods Optimizer/]: | amplifiednether                    | 1.2.1                  | MIXED    | UNKNOWN           | 2023-03-16 22:53:17 |
[14Jan2025 06:49:13.366] [main/INFO] [Mods Optimizer/]: | bcc                                | 1.0.10-build.50+mc1.19.2 | FORGE    | UNKNOWN           | 2023-03-17 03:28:41 |
[14Jan2025 06:49:13.368] [main/INFO] [Mods Optimizer/]: | biomesoplenty                      | 17.1.1-162             | FORGE    | DEFAULT           | 2022-10-19 09:33:34 |
[14Jan2025 06:49:13.369] [main/INFO] [Mods Optimizer/]: | explorify                          | 1.6.2                  | MIXED    | DATA_PACK         | 2025-01-13 19:37:20 |
[14Jan2025 06:49:13.370] [main/INFO] [Mods Optimizer/]: | ironfurnaces                       | 3.6.5                  | FORGE    | DEFAULT           | 2023-01-26 17:17:49 |
[14Jan2025 06:49:13.371] [main/INFO] [Mods Optimizer/]: | justhammers                        | 1.0.0+mc1.19.2         | FORGE    | DEFAULT           | 2025-01-13 19:38:38 |
[14Jan2025 06:49:13.372] [main/INFO] [Mods Optimizer/]: | supermartijn642corelib             | 1.1.17+a               | FORGE    | DEFAULT           | 2025-01-13 19:41:02 |
[14Jan2025 06:49:13.373] [main/INFO] [Mods Optimizer/]: | resourcefulconfig                  | 1.0.20                 | FORGE    | DEFAULT           | 2025-01-13 19:40:24 |
[14Jan2025 06:49:13.374] [main/INFO] [Mods Optimizer/]: | darkerdepths                       | 1.0.7                  | FORGE    | DEFAULT           | 2023-02-12 17:47:01 |
[14Jan2025 06:49:13.375] [main/INFO] [Mods Optimizer/]: | servercore                         | 1.3.6+1.19.2           | FORGE    | UNKNOWN           | 2025-01-13 19:40:31 |
[14Jan2025 06:49:13.376] [main/INFO] [Mods Optimizer/]: | luphieclutteredmod                 | 2.1.0                  | FORGE    | UNKNOWN           | 2025-01-13 19:36:28 |
[14Jan2025 06:49:13.377] [main/INFO] [Mods Optimizer/]: | trapcraft                          | 3.7.0                  | FORGE    | UNKNOWN           | 2022-09-08 06:51:12 |
[14Jan2025 06:49:13.378] [main/INFO] [Mods Optimizer/]: | curios                             | 1.19.2-5.1.6.4         | FORGE    | DEFAULT           | 2024-10-24 21:36:25 |
[14Jan2025 06:49:13.379] [main/INFO] [Mods Optimizer/]: | lightspeed                         | 1.19.2-1.1.0           | FORGE    | DEFAULT           | 2023-06-18 14:00:59 |
[14Jan2025 06:49:13.380] [main/INFO] [Mods Optimizer/]: | framedblocks                       | 6.8.6                  | FORGE    | DEFAULT           | 2023-09-21 05:13:00 |
[14Jan2025 06:49:13.381] [main/INFO] [Mods Optimizer/]: | noisium                            | 1.0.2                  | FORGE    | DEFAULT           | 2023-12-18 15:39:02 |
[14Jan2025 06:49:13.382] [main/INFO] [Mods Optimizer/]: | dragonenchants                     | 1.0.4                  | FORGE    | DEFAULT           | 2023-01-15 14:23:35 |
[14Jan2025 06:49:13.383] [main/INFO] [Mods Optimizer/]: | mace_port                          | 3.0.4                  | FORGE    | DEFAULT           | 2024-12-10 23:14:33 |
[14Jan2025 06:49:13.384] [main/INFO] [Mods Optimizer/]: | cavesanddepths                     | 1.2.4                  | FORGE    | UNKNOWN           | 2025-01-13 19:36:51 |
[14Jan2025 06:49:13.385] [main/INFO] [Mods Optimizer/]: | the_bumblezone                     | 6.9.13+1.19.2          | FORGE    | UNKNOWN           | 2024-05-10 11:17:48 |
[14Jan2025 06:49:13.385] [main/INFO] [Mods Optimizer/]: | unilib                             | 1.0.4                  | FORGE    | DEFAULT           | 2025-01-13 19:42:07 |
[14Jan2025 06:49:13.386] [main/INFO] [Mods Optimizer/]: | masiks_puzzle_dungeon              | 1.1.1                  | FORGE    | UNKNOWN           | 2023-06-30 10:36:16 |
[14Jan2025 06:49:13.387] [main/INFO] [Mods Optimizer/]: | l2library                          | 1.10.0                 | FORGE    | DEFAULT           | 2023-12-12 16:44:58 |
[14Jan2025 06:49:13.387] [main/INFO] [Mods Optimizer/]: | waterframes                        | 2.1.8                  | FORGE    | DEFAULT           | 2024-12-07 00:34:23 |
[14Jan2025 06:49:13.388] [main/INFO] [Mods Optimizer/]: | playerrevive                       | 2.0.17                 | FORGE    | DEFAULT           | 2024-07-01 13:26:09 |
[14Jan2025 06:49:13.389] [main/INFO] [Mods Optimizer/]: | geckolib3                          | 3.1.40                 | FORGE    | DEFAULT           | 2023-02-22 08:35:59 |
[14Jan2025 06:49:13.390] [main/INFO] [Mods Optimizer/]: | majruszlibrary                     | 7.0.5-backport.1       | FORGE    | DEFAULT           | 2024-03-12 18:00:19 |
[14Jan2025 06:49:13.390] [main/INFO] [Mods Optimizer/]: | doritrollcraft                     | 1.0.0                  | FORGE    | UNKNOWN           | 2025-01-13 19:36:49 |
[14Jan2025 06:49:13.391] [main/INFO] [Mods Optimizer/]: | betteranimationscollection         | 4.0.5                  | FORGE    | DEFAULT           | 2022-11-22 21:08:42 |
[14Jan2025 06:49:13.391] [main/INFO] [Mods Optimizer/]: | quarkoddities                      | 1.18.0                 | FORGE    | UNKNOWN           | 2021-12-14 21:07:41 |
[14Jan2025 06:49:13.392] [main/INFO] [Mods Optimizer/]: | mowziesmobs                        | 1.6.3                  | FORGE    | DEFAULT           | 2024-03-13 16:03:40 |
[14Jan2025 06:49:13.395] [main/INFO] [Mods Optimizer/]: | skin_changer                       | 0.5.3                  | FORGE    | DEFAULT           | 2024-07-10 08:02:31 |
[14Jan2025 06:49:13.396] [main/INFO] [Mods Optimizer/]: | cgm                                | 1.3.7                  | FORGE    | DEFAULT           | 2023-08-23 19:37:34 |
[14Jan2025 06:49:13.396] [main/INFO] [Mods Optimizer/]: | rechiseled                         | 1.1.6                  | FORGE    | DEFAULT           | 2025-01-13 19:40:18 |
[14Jan2025 06:49:13.397] [main/INFO] [Mods Optimizer/]: | tonsofenchants                     | 1.0.0                  | FORGE    | UNKNOWN           | 2023-03-20 18:40:11 |
[14Jan2025 06:49:13.397] [main/INFO] [Mods Optimizer/]: | nameless_trinkets                  | 1.19.2-1.7.6           | FORGE    | DEFAULT           | 2025-01-13 19:39:44 |
[14Jan2025 06:49:13.398] [main/INFO] [Mods Optimizer/]: | attributefix                       | 17.2.8                 | FORGE    | DEFAULT           | 2024-02-21 21:59:35 |
[14Jan2025 06:49:13.399] [main/INFO] [Mods Optimizer/]: | graveyard                          | 2.5.3                  | FORGE    | DEFAULT           | 2023-05-27 23:48:13 |
[14Jan2025 06:49:13.399] [main/INFO] [Mods Optimizer/]: | splash_milk                        | 1.4.0                  | FORGE    | DEFAULT           | 2022-08-09 08:58:00 |
[14Jan2025 06:49:13.400] [main/INFO] [Mods Optimizer/]: | pehkui                             | 3.8.2+1.19.2-forge     | FORGE    | UNKNOWN           | 2025-01-13 19:40:00 |
[14Jan2025 06:49:13.400] [main/INFO] [Mods Optimizer/]: | forgecef                           | 1.2.5                  | FORGE    | DEFAULT           | 2023-06-10 22:19:10 |
[14Jan2025 06:49:13.401] [main/INFO] [Mods Optimizer/]: | goblintraders                      | 1.8.0                  | FORGE    | DEFAULT           | 2022-09-29 01:33:18 |
[14Jan2025 06:49:13.401] [main/INFO] [Mods Optimizer/]: | libraryferret                      | 4.0.0                  | FORGE    | DEFAULT           | 2023-03-13 18:55:34 |
[14Jan2025 06:49:13.402] [main/INFO] [Mods Optimizer/]: | caelus                             | 1.19.2-3.0.0.6         | FORGE    | DEFAULT           | 2022-08-11 02:17:52 |
[14Jan2025 06:49:13.402] [main/INFO] [Mods Optimizer/]: | mcwholidays                        | 1.1.0                  | FORGE    | UNKNOWN           | 2023-12-22 11:56:15 |
[14Jan2025 06:49:13.403] [main/INFO] [Mods Optimizer/]: | wardrobe                           | 1.0.3                  | FORGE    | UNKNOWN           | 2025-01-13 19:42:14 |
[14Jan2025 06:49:13.403] [main/INFO] [Mods Optimizer/]: | new_120_content                    | 2.0.0                  | FORGE    | UNKNOWN           | 2025-01-13 19:39:50 |
[14Jan2025 06:49:13.404] [main/INFO] [Mods Optimizer/]: | awesomedungeon                     | 3.2.0                  | FORGE    | DEFAULT           | 2023-04-17 04:27:44 |
[14Jan2025 06:49:13.404] [main/INFO] [Mods Optimizer/]: | mr_vanilla_refresh                 | 0.0.0                  | MIXED    | DATA_PACK         | 2025-01-13 19:42:11 |
[14Jan2025 06:49:13.405] [main/INFO] [Mods Optimizer/]: | more_enchantments                  | 1.4.3                  | FORGE    | UNKNOWN           | 2025-01-13 19:39:39 |
[14Jan2025 06:49:13.405] [main/INFO] [Mods Optimizer/]: | badpackets                         | 0.2.3                  | FORGE    | UNKNOWN           | 2025-01-13 19:36:06 |
[14Jan2025 06:49:13.406] [main/INFO] [Mods Optimizer/]: | cofh_core                          | 10.3.1                 | FORGE    | DEFAULT           | 2023-10-14 08:41:45 |
[14Jan2025 06:49:13.406] [main/INFO] [Mods Optimizer/]: | starlight                          | 1.1.1+forge.a3aea74    | FORGE    | DEFAULT           | 2025-01-13 19:40:55 |
[14Jan2025 06:49:13.407] [main/INFO] [Mods Optimizer/]: | table_top_craft                    | 3.1.2                  | FORGE    | DEFAULT           | 2023-06-29 21:32:47 |
[14Jan2025 06:49:13.409] [main/INFO] [Mods Optimizer/]: | additional_lights                  | 2.1.6                  | FORGE    | DEFAULT           | 2023-02-25 13:17:33 |
[14Jan2025 06:49:13.410] [main/INFO] [Mods Optimizer/]: | fusion                             | 1.1.1                  | FORGE    | DEFAULT           | 2025-01-13 19:37:31 |
[14Jan2025 06:49:13.411] [main/INFO] [Mods Optimizer/]: | chalk                              | 1.6.3                  | FORGE    | DEFAULT           | 2023-10-31 02:55:50 |
[14Jan2025 06:49:13.412] [main/INFO] [Mods Optimizer/]: | grieflogger                        | 1.1.2                  | FORGE    | SERVER            | 2025-01-13 19:37:42 |
[14Jan2025 06:49:13.413] [main/INFO] [Mods Optimizer/]: | emotecraft                         | 2.2.7-b.build.50       | FORGE    | UNKNOWN           | 2025-01-13 19:37:04 |
[14Jan2025 06:49:13.414] [main/INFO] [Mods Optimizer/]: | infernalmobs                       | 4.0.0                  | FORGE    | UNKNOWN           | 2023-02-01 15:14:06 |
[14Jan2025 06:49:13.416] [main/INFO] [Mods Optimizer/]: | dungeons_arise                     | 2.1.54-1.19.2          | FORGE    | SERVER            | 2022-12-08 18:32:26 |
[14Jan2025 06:49:13.416] [main/INFO] [Mods Optimizer/]: | tectonic                           | 0.0.0                  | FORGE    | DEFAULT           | 2024-06-05 10:41:58 |
[14Jan2025 06:49:13.417] [main/INFO] [Mods Optimizer/]: | hearths                            | 1.0.0-mc1.19u1.19.3    | MIXED    | DATA_PACK         | 2025-01-13 19:37:43 |
[14Jan2025 06:49:13.417] [main/INFO] [Mods Optimizer/]: | smoothchunk                        | 1.19.2-3.5             | FORGE    | SERVER            | 2023-11-17 23:51:20 |
[14Jan2025 06:49:13.418] [main/INFO] [Mods Optimizer/]: | emi                                | 1.1.18+1.19.2          | FORGE    | UNKNOWN           | 2025-01-13 19:37:04 |
[14Jan2025 06:49:13.418] [main/INFO] [Mods Optimizer/]: | voicechat                          | 1.19.2-2.5.26          | FORGE    | DEFAULT           | 2024-11-16 09:56:55 |
